Observer,Block name,Point name,Date,Species,Time interval,Number,Sex/Behaviour,Distance,Detection_hist,3 Birds at census point.Notes,Record #,Verified?,Time start,Temp,Relative humidity,Wind,Sky_code,Mammal,Noise,Recording #,2 Point information.Notes,Start time,End time,Start temp,End temp,Start wind,End wind,Start sky,End sky
Roger Brown,Quill Creek,Q01,"Wednesday, June 08, 2022",Yellow-rumped Warbler,"2,4,6,8,10",1,S,50-100m,11111,,3080,FALSE,4:04,7.8,52.1,0,1,,Creek noise constant at Beaufort 3 level,,,4:04,8:10,7.8,2.1,0,0,1,1
Roger Brown,Quill Creek,Q01,"Wednesday, June 08, 2022",Swainson's Thrush,8,1,C,<50m,00010,,3081,FALSE,4:04,7.8,52.1,0,1,,Creek noise constant at Beaufort 3 level,,,4:04,8:10,7.8,2.1,0,0,1,1
Roger Brown,Quill Creek,Q01,"Wednesday, June 08, 2022",Yellow-rumped Warbler,"2,10",1,S,50-100m,10001,,3082,FALSE,4:04,7.8,52.1,0,1,,Creek noise constant at Beaufort 3 level,,,4:04,8:10,7.8,2.1,0,0,1,1
Roger Brown,Quill Creek,Q01,"Wednesday, June 08, 2022",Swainson's Thrush,"2,4,6,8,10",1,S,50-100m,11111,,3083,FALSE,4:04,7.8,52.1,0,1,,Creek noise constant at Beaufort 3 level,,,4:04,8:10,7.8,2.1,0,0,1,1
David Blakeburn,Quill Creek,Q02,"Friday, June 07, 2019",Swainson's Thrush,"2,4,10",1,S,50-100m,11001,,2266,FALSE,4:32,6.4,70.6,0,3,,,,"SWTH, DEJU",4:04,8:55,8,10.3,0.2,0.5,3,1
David Blakeburn,Quill Creek,Q02,"Friday, June 07, 2019",Dark-eyed Junco,"2,4,6,8,10",1,S,50-100m,11111,,2267,FALSE,4:32,6.4,70.6,0,3,,,,"SWTH, DEJU",4:04,8:55,8,10.3,0.2,0.5,3,1
David Blakeburn,Quill Creek,Q02,"Friday, June 07, 2019",Yellow-rumped Warbler,"2,4,6,8,10",1,S,50-100m,11111,,2268,FALSE,4:32,6.4,70.6,0,3,,,,"SWTH, DEJU",4:04,8:55,8,10.3,0.2,0.5,3,1
Sonny Parker,Quill Creek,Q02,"Wednesday, June 08, 2022",Yellow-rumped Warbler,"2,4,6,8,10",1,S,<50m,11111,,3028,FALSE,4:30,2.9,76.7,0,1,,noise of creek may obscure subtle bird sound <50m,,,4:04,8:10,7.8,2.1,0,0,1,1
Sonny Parker,Quill Creek,Q02,"Wednesday, June 08, 2022",Swainson's Thrush,"2,4,6,8,10",1,"S,C",50-100m,11111,,3029,FALSE,4:30,2.9,76.7,0,1,,noise of creek may obscure subtle bird sound <50m,,,4:04,8:10,7.8,2.1,0,0,1,1
Sonny Parker,Quill Creek,Q02,"Wednesday, June 08, 2022",Yellow-rumped Warbler,"4,8",1,S,50-100m,01010,,3030,FALSE,4:30,2.9,76.7,0,1,,noise of creek may obscure subtle bird sound <50m,,,4:04,8:10,7.8,2.1,0,0,1,1
Sonny Parker,Quill Creek,Q02,"Wednesday, June 08, 2022",Yellow-rumped Warbler,"2,4,6,8,10",1,S,50-100m,11111,,3031,FALSE,4:30,2.9,76.7,0,1,,noise of creek may obscure subtle bird sound <50m,,,4:04,8:10,7.8,2.1,0,0,1,1
Roger Brown,Quill Creek,Q02,"Wednesday, June 08, 2022",Yellow-rumped Warbler,"2,4,6",1,S,50-100m,11100,,3084,FALSE,4:30,2.9,76.7,0,1,,Creek noise constant at Beaufort 3 level; plane flyover at 2,,,4:04,8:10,7.8,2.1,0,0,1,1
Roger Brown,Quill Creek,Q02,"Wednesday, June 08, 2022",Swainson's Thrush,2,1,S,50-100m,10000,,3085,FALSE,4:30,2.9,76.7,0,1,,Creek noise constant at Beaufort 3 level; plane flyover at 2,,,4:04,8:10,7.8,2.1,0,0,1,1
Roger Brown,Quill Creek,Q02,"Wednesday, June 08, 2022",Swainson's Thrush,10,1,S,50-100m,00001,,3086,FALSE,4:30,2.9,76.7,0,1,,Creek noise constant at Beaufort 3 level; plane flyover at 2,,,4:04,8:10,7.8,2.1,0,0,1,1
Roger Brown,Quill Creek,Q02,"Wednesday, June 08, 2022",Yellow-rumped Warbler,6,1,S,50-100m,00100,,3087,FALSE,4:30,2.9,76.7,0,1,,Creek noise constant at Beaufort 3 level; plane flyover at 2,,,4:04,8:10,7.8,2.1,0,0,1,1
David Blakeburn,Quill Creek,Q03,"Friday, June 07, 2019",Swainson's Thrush,"2,4,6,8,10",1,S,<50m,11111,,2269,FALSE,4:59,5.9,77.3,0,2,,,,,4:04,8:55,8,10.3,0.2,0.5,3,1
David Blakeburn,Quill Creek,Q03,"Friday, June 07, 2019",Swainson's Thrush,"2,4,6,8,10",1,S,<50m,11111,,2270,FALSE,4:59,5.9,77.3,0,2,,,,,4:04,8:55,8,10.3,0.2,0.5,3,1
David Blakeburn,Quill Creek,Q03,"Friday, June 07, 2019",Yellow-rumped Warbler,"6,8,10",1,S,<50m,00111,,2271,FALSE,4:59,5.9,77.3,0,2,,,,,4:04,8:55,8,10.3,0.2,0.5,3,1
David Blakeburn,Quill Creek,Q03,"Friday, June 07, 2019",Yellow-rumped Warbler,"4,8,10",1,S,50-100m,01011,,2272,FALSE,4:59,5.9,77.3,0,2,,,,,4:04,8:55,8,10.3,0.2,0.5,3,1
David Blakeburn,Quill Creek,Q03,"Friday, June 07, 2019",Gray Jay,2,1,C,50-100m,10000,,2273,FALSE,4:59,5.9,77.3,0,2,,,,,4:04,8:55,8,10.3,0.2,0.5,3,1
David Blakeburn,Quill Creek,Q03,"Friday, June 07, 2019",Dark-eyed Junco,"2,4",1,"S,V,C",<50m,11000,,2274,FALSE,4:59,5.9,77.3,0,2,,,,,4:04,8:55,8,10.3,0.2,0.5,3,1
Sonny Parker,Quill Creek,Q03,"Wednesday, June 08, 2022",Yellow-rumped Warbler,"4,6,8,10",1,S,50-100m,01111,,3033,FALSE,4:51,2,85.2,0,1,,noise of creek may obscure subtle bird sound <50m,,,4:04,8:10,7.8,2.1,0,0,1,1
Sonny Parker,Quill Creek,Q03,"Wednesday, June 08, 2022",American Three-toed Woodpecker,"6,8",1,V,<50m,00110,,3034,FALSE,4:51,2,85.2,0,1,,noise of creek may obscure subtle bird sound <50m,,,4:04,8:10,7.8,2.1,0,0,1,1
Sonny Parker,Quill Creek,Q03,"Wednesday, June 08, 2022",Yellow-rumped Warbler,"4,6,8",1,S,50-100m,01110,,3035,FALSE,4:51,2,85.2,0,1,,noise of creek may obscure subtle bird sound <50m,,,4:04,8:10,7.8,2.1,0,0,1,1
Sonny Parker,Quill Creek,Q03,"Wednesday, June 08, 2022",Swainson's Thrush,"2,8,10",1,"S,C",50-100m,10011,,3036,FALSE,4:51,2,85.2,0,1,,noise of creek may obscure subtle bird sound <50m,,,4:04,8:10,7.8,2.1,0,0,1,1
Sonny Parker,Quill Creek,Q03,"Wednesday, June 08, 2022",Yellow-rumped Warbler,4,1,S,50-100m,01000,,3037,FALSE,4:51,2,85.2,0,1,,noise of creek may obscure subtle bird sound <50m,,,4:04,8:10,7.8,2.1,0,0,1,1
Roger Brown,Quill Creek,Q03,"Wednesday, June 08, 2022",Yellow-rumped Warbler,"2,4,6,8,10",1,S,50-100m,11111,,3088,FALSE,4:51,2,85.2,0,1,,,,,4:04,8:10,7.8,2.1,0,0,1,1
Roger Brown,Quill Creek,Q03,"Wednesday, June 08, 2022",Yellow-rumped Warbler,"4,6,8,10",1,S,50-100m,01111,,3089,FALSE,4:51,2,85.2,0,1,,,,,4:04,8:10,7.8,2.1,0,0,1,1
Roger Brown,Quill Creek,Q03,"Wednesday, June 08, 2022",Swainson's Thrush,"2,4,6,8,10",1,S,50-100m,11111,,3090,FALSE,4:51,2,85.2,0,1,,,,,4:04,8:10,7.8,2.1,0,0,1,1
Roger Brown,Quill Creek,Q03,"Wednesday, June 08, 2022",American Three-toed Woodpecker,"6,8",1,V,<50m,00110,,3091,FALSE,4:51,2,85.2,0,1,,,,,4:04,8:10,7.8,2.1,0,0,1,1
Roger Brown,Quill Creek,Q03,"Wednesday, June 08, 2022",Swainson's Thrush,"4,10",1,S,50-100m,01001,,3092,FALSE,4:51,2,85.2,0,1,,,,,4:04,8:10,7.8,2.1,0,0,1,1
David Blakeburn,Quill Creek,Q04,"Friday, June 07, 2019",Gray Jay,"4,6,10",1,C,<50m,01101,,2275,FALSE,5:29,4.4,84.2,0.1,2,,,,GRJY fledgling begging for food v - fresh batteries,4:04,8:55,8,10.3,0.2,0.5,3,1
David Blakeburn,Quill Creek,Q04,"Friday, June 07, 2019",Swainson's Thrush,"2,4,6,8,10",1,S,<50m,11111,,2276,FALSE,5:29,4.4,84.2,0.1,2,,,,GRJY fledgling begging for food v - fresh batteries,4:04,8:55,8,10.3,0.2,0.5,3,1
David Blakeburn,Quill Creek,Q04,"Friday, June 07, 2019",Swainson's Thrush,"2,4,6,8,10",1,S,<50m,11111,,2277,FALSE,5:29,4.4,84.2,0.1,2,,,,GRJY fledgling begging for food v - fresh batteries,4:04,8:55,8,10.3,0.2,0.5,3,1
David Blakeburn,Quill Creek,Q04,"Friday, June 07, 2019",Yellow-rumped Warbler,"2,4,6,8,",1,S,<50m,11110,,2278,FALSE,5:29,4.4,84.2,0.1,2,,,,GRJY fledgling begging for food v - fresh batteries,4:04,8:55,8,10.3,0.2,0.5,3,1
David Blakeburn,Quill Creek,Q04,"Friday, June 07, 2019",Swainson's Thrush,"4,6,8",1,S,50-100m,01110,,2279,FALSE,5:29,4.4,84.2,0.1,2,,,,GRJY fledgling begging for food v - fresh batteries,4:04,8:55,8,10.3,0.2,0.5,3,1
Sonny Parker,Quill Creek,Q04,"Wednesday, June 08, 2022",Dark-eyed Junco,"2,4,6,8,10",1,S,<50m,11111,,3038,FALSE,5:11,0.5,86.5,0,1,,,,,4:04,8:10,7.8,2.1,0,0,1,1
Sonny Parker,Quill Creek,Q04,"Wednesday, June 08, 2022",Yellow-rumped Warbler,"4,8",1,S,50-100m,01010,,3039,FALSE,5:11,0.5,86.5,0,1,,,,,4:04,8:10,7.8,2.1,0,0,1,1
Sonny Parker,Quill Creek,Q04,"Wednesday, June 08, 2022",Yellow-rumped Warbler,"2,4,6,8,10",1,S,50-100m,11111,,3040,FALSE,5:11,0.5,86.5,0,1,,,,,4:04,8:10,7.8,2.1,0,0,1,1
Sonny Parker,Quill Creek,Q04,"Wednesday, June 08, 2022",Swainson's Thrush,"6,8,10",1,C,<50m,00111,,3041,FALSE,5:11,0.5,86.5,0,1,,,,,4:04,8:10,7.8,2.1,0,0,1,1
Roger Brown,Quill Creek,Q04,"Wednesday, June 08, 2022",Dark-eyed Junco,"2,4,6,8,10",1,S,50-100m,11111,,3093,FALSE,5:11,0.5,86.5,0,1,,,,,4:04,8:10,7.8,2.1,0,0,1,1
Roger Brown,Quill Creek,Q04,"Wednesday, June 08, 2022",Yellow-rumped Warbler,"4,10",1,S,50-100m,01001,,3094,FALSE,5:11,0.5,86.5,0,1,,,,,4:04,8:10,7.8,2.1,0,0,1,1
Roger Brown,Quill Creek,Q04,"Wednesday, June 08, 2022",Yellow-rumped Warbler,"2,6,8,10",1,S,<50m,10111,,3095,FALSE,5:11,0.5,86.5,0,1,,,,,4:04,8:10,7.8,2.1,0,0,1,1
Roger Brown,Quill Creek,Q04,"Wednesday, June 08, 2022",Swainson's Thrush,"4,6,8,10",1,S,<50m,01111,,3096,FALSE,5:11,0.5,86.5,0,1,,,,,4:04,8:10,7.8,2.1,0,0,1,1
Roger Brown,Quill Creek,Q04,"Wednesday, June 08, 2022",Swainson's Thrush,"2,8,10",1,S,50-100m,10011,,3097,FALSE,5:11,0.5,86.5,0,1,,,,,4:04,8:10,7.8,2.1,0,0,1,1
David Blakeburn,Quill Creek,Q05,"Friday, June 07, 2019",Gray Jay,10,1,C,<50m,00001,,2280,FALSE,5:57,3.9,87.4,0,2,,,,,4:04,8:55,8,10.3,0.2,0.5,3,1
David Blakeburn,Quill Creek,Q05,"Friday, June 07, 2019",Swainson's Thrush,"2,4,8,10",1,"S,C",50-100m,11011,,2281,FALSE,5:57,3.9,87.4,0,2,,,,,4:04,8:55,8,10.3,0.2,0.5,3,1
David Blakeburn,Quill Creek,Q05,"Friday, June 07, 2019",Yellow-rumped Warbler,"2,4,6,8,10",1,S,50-100m,11111,,2282,FALSE,5:57,3.9,87.4,0,2,,,,,4:04,8:55,8,10.3,0.2,0.5,3,1
David Blakeburn,Quill Creek,Q05,"Friday, June 07, 2019",Swainson's Thrush,"8,10",1,S,50-100m,00011,,2283,FALSE,5:57,3.9,87.4,0,2,,,,,4:04,8:55,8,10.3,0.2,0.5,3,1
David Blakeburn,Quill Creek,Q05,"Friday, June 07, 2019",Boreal Chickadee,"4,6",1,S,<50m,01100,,2284,FALSE,5:57,3.9,87.4,0,2,,,,,4:04,8:55,8,10.3,0.2,0.5,3,1
David Blakeburn,Quill Creek,Q05,"Friday, June 07, 2019",Swainson's Thrush,"2,4,6,10",1,S,<50m,11101,,2285,FALSE,5:57,3.9,87.4,0,2,,,,,4:04,8:55,8,10.3,0.2,0.5,3,1
David Blakeburn,Quill Creek,Q05,"Friday, June 07, 2019",Yellow-rumped Warbler,"2,4",1,S,<50m,11000,,2286,FALSE,5:57,3.9,87.4,0,2,,,,,4:04,8:55,8,10.3,0.2,0.5,3,1
David Blakeburn,Quill Creek,Q05,"Friday, June 07, 2019",Yellow-rumped Warbler,10,1,S,<50m,00001,,2287,FALSE,5:57,3.9,87.4,0,2,,,,,4:04,8:55,8,10.3,0.2,0.5,3,1
Sonny Parker,Quill Creek,Q05,"Wednesday, June 08, 2022",Boreal Chickadee,4,1,S,<50m,01000,,3042,FALSE,5:32,-0.1,44.6,0,1,,plane flyover at 2,,,4:04,8:10,7.8,2.1,0,0,1,1
Sonny Parker,Quill Creek,Q05,"Wednesday, June 08, 2022",Yellow-rumped Warbler,"2,4,6,8,10",1,S,50-100m,11111,,3043,FALSE,5:32,-0.1,44.6,0,1,,plane flyover at 2,,,4:04,8:10,7.8,2.1,0,0,1,1
Sonny Parker,Quill Creek,Q05,"Wednesday, June 08, 2022",Swainson's Thrush,"2,4,6,10",1,C,50-100m,11101,,3044,FALSE,5:32,-0.1,44.6,0,1,,plane flyover at 2,,,4:04,8:10,7.8,2.1,0,0,1,1
Sonny Parker,Quill Creek,Q05,"Wednesday, June 08, 2022",Yellow-rumped Warbler,"4,6,8,10",1,S,<50m,01111,,3045,FALSE,5:32,-0.1,44.6,0,1,,plane flyover at 2,,,4:04,8:10,7.8,2.1,0,0,1,1
Roger Brown,Quill Creek,Q05,"Wednesday, June 08, 2022",Yellow-rumped Warbler,"2,4,8,10",1,S,50-100m,11011,,3098,FALSE,5:32,-0.1,44.6,0,1,,Creek was audible; plane flyover at 2 and 4,,,4:04,8:10,7.8,2.1,0,0,1,1
Roger Brown,Quill Creek,Q05,"Wednesday, June 08, 2022",Boreal Chickadee,2,1,C,50-100m,10000,,3099,FALSE,5:32,-0.1,44.6,0,1,,Creek was audible; plane flyover at 2 and 4,,,4:04,8:10,7.8,2.1,0,0,1,1
Roger Brown,Quill Creek,Q05,"Wednesday, June 08, 2022",Yellow-rumped Warbler,2,1,"F,C",<50m,10000,,3100,FALSE,5:32,-0.1,44.6,0,1,,Creek was audible; plane flyover at 2 and 4,,,4:04,8:10,7.8,2.1,0,0,1,1
Roger Brown,Quill Creek,Q05,"Wednesday, June 08, 2022",Swainson's Thrush,"2,4,6",1,S,50-100m,11100,,3101,FALSE,5:32,-0.1,44.6,0,1,,Creek was audible; plane flyover at 2 and 4,,,4:04,8:10,7.8,2.1,0,0,1,1
Roger Brown,Quill Creek,Q05,"Wednesday, June 08, 2022",Yellow-rumped Warbler,"6,8,10",1,S,50-100m,00111,,3102,FALSE,5:32,-0.1,44.6,0,1,,Creek was audible; plane flyover at 2 and 4,,,4:04,8:10,7.8,2.1,0,0,1,1
Roger Brown,Quill Creek,Q05,"Wednesday, June 08, 2022",Swainson's Thrush,10,1,C,50-100m,00001,,3103,FALSE,5:32,-0.1,44.6,0,1,,Creek was audible; plane flyover at 2 and 4,,,4:04,8:10,7.8,2.1,0,0,1,1
David Blakeburn,Quill Creek,Q06,"Friday, June 07, 2019",Swainson's Thrush,"2,4,6,8,10",1,S,<50m,11111,,2288,FALSE,6:18,3.5,89.9,0,2,,,,RCKI sing/visual in 50 m radius stopped before recording,4:04,8:55,8,10.3,0.2,0.5,3,1
David Blakeburn,Quill Creek,Q06,"Friday, June 07, 2019",Gray Jay,"2,4,6,8",1,S,<50m,11110,,2289,FALSE,6:18,3.5,89.9,0,2,,,,RCKI sing/visual in 50 m radius stopped before recording,4:04,8:55,8,10.3,0.2,0.5,3,1
David Blakeburn,Quill Creek,Q06,"Friday, June 07, 2019",Swainson's Thrush,"2,4,6,8,10",1,S,50-100m,11111,,2290,FALSE,6:18,3.5,89.9,0,2,,,,RCKI sing/visual in 50 m radius stopped before recording,4:04,8:55,8,10.3,0.2,0.5,3,1
David Blakeburn,Quill Creek,Q06,"Friday, June 07, 2019",Yellow-rumped Warbler,"4,6,8,10",1,S,50-100m,01111,,2291,FALSE,6:18,3.5,89.9,0,2,,,,RCKI sing/visual in 50 m radius stopped before recording,4:04,8:55,8,10.3,0.2,0.5,3,1
David Blakeburn,Quill Creek,Q06,"Friday, June 07, 2019",Swainson's Thrush,10,1,S,50-100m,00001,,2292,FALSE,6:18,3.5,89.9,0,2,,,,RCKI sing/visual in 50 m radius stopped before recording,4:04,8:55,8,10.3,0.2,0.5,3,1
David Blakeburn,Quill Creek,Q06,"Friday, June 07, 2019",Yellow-rumped Warbler,"2,4,6,8,10",1,S,<50m,11111,,2293,FALSE,6:18,3.5,89.9,0,2,,,,RCKI sing/visual in 50 m radius stopped before recording,4:04,8:55,8,10.3,0.2,0.5,3,1
Sonny Parker,Quill Creek,Q06,"Wednesday, June 08, 2022",Yellow-rumped Warbler,10,1,S,<50m,00001,,3047,FALSE,5:52,0.1,96.3,0,1,,plane flyover,,,4:04,8:10,7.8,2.1,0,0,1,1
Sonny Parker,Quill Creek,Q06,"Wednesday, June 08, 2022",American Robin,6,1,"V,S",<50m,00100,,3048,FALSE,5:52,0.1,96.3,0,1,,plane flyover,,,4:04,8:10,7.8,2.1,0,0,1,1
Sonny Parker,Quill Creek,Q06,"Wednesday, June 08, 2022",Yellow-rumped Warbler,"4,8,10",1,S,50-100m,01011,,3049,FALSE,5:52,0.1,96.3,0,1,,plane flyover,,,4:04,8:10,7.8,2.1,0,0,1,1
Sonny Parker,Quill Creek,Q06,"Wednesday, June 08, 2022",Swainson's Thrush,2,1,S,50-100m,10000,,3050,FALSE,5:52,0.1,96.3,0,1,,plane flyover,,,4:04,8:10,7.8,2.1,0,0,1,1
Sonny Parker,Quill Creek,Q06,"Wednesday, June 08, 2022",Swainson's Thrush,"2,4",1,S,50-100m,11000,,3051,FALSE,5:52,0.1,96.3,0,1,,plane flyover,,,4:04,8:10,7.8,2.1,0,0,1,1
Sonny Parker,Quill Creek,Q06,"Wednesday, June 08, 2022",Yellow-rumped Warbler,"2,4,6,8,10",1,S,50-100m,11111,,3052,FALSE,5:52,0.1,96.3,0,1,,plane flyover,,,4:04,8:10,7.8,2.1,0,0,1,1
Sonny Parker,Quill Creek,Q06,"Wednesday, June 08, 2022",Boreal Chickadee,8,1,S,50-100m,00010,,3053,FALSE,5:52,0.1,96.3,0,1,,plane flyover,,,4:04,8:10,7.8,2.1,0,0,1,1
Roger Brown,Quill Creek,Q06,"Wednesday, June 08, 2022",Swainson's Thrush,"2,4",1,S,50-100m,11000,,3104,FALSE,5:52,0.1,96.3,0,1,,Creek noise steady at Beaufort 2-3; plane flyover at 6,,,4:04,8:10,7.8,2.1,0,0,1,1
Roger Brown,Quill Creek,Q06,"Wednesday, June 08, 2022",Yellow-rumped Warbler,"4,10",1,S,50-100m,01001,,3105,FALSE,5:52,0.1,96.3,0,1,,Creek noise steady at Beaufort 2-3; plane flyover at 6,,,4:04,8:10,7.8,2.1,0,0,1,1
Roger Brown,Quill Creek,Q06,"Wednesday, June 08, 2022",American Robin,6,1,"S,C",<50m,00100,,3106,FALSE,5:52,0.1,96.3,0,1,,Creek noise steady at Beaufort 2-3; plane flyover at 6,,,4:04,8:10,7.8,2.1,0,0,1,1
Roger Brown,Quill Creek,Q06,"Wednesday, June 08, 2022",Yellow-rumped Warbler,"6,8,10",1,S,50-100m,00111,,3107,FALSE,5:52,0.1,96.3,0,1,,Creek noise steady at Beaufort 2-3; plane flyover at 6,,,4:04,8:10,7.8,2.1,0,0,1,1
Roger Brown,Quill Creek,Q06,"Wednesday, June 08, 2022",Swainson's Thrush,"2,4,8",1,S,50-100m,11010,,3108,FALSE,5:52,0.1,96.3,0,1,,Creek noise steady at Beaufort 2-3; plane flyover at 6,,,4:04,8:10,7.8,2.1,0,0,1,1
Roger Brown,Quill Creek,Q06,"Wednesday, June 08, 2022",Yellow-rumped Warbler,"4,8,10",1,S,50-100m,01011,,3109,FALSE,5:52,0.1,96.3,0,1,,Creek noise steady at Beaufort 2-3; plane flyover at 6,,,4:04,8:10,7.8,2.1,0,0,1,1
Roger Brown,Quill Creek,Q06,"Wednesday, June 08, 2022",Swainson's Thrush,"2,4",1,S,50-100m,11000,,3110,FALSE,5:52,0.1,96.3,0,1,,Creek noise steady at Beaufort 2-3; plane flyover at 6,,,4:04,8:10,7.8,2.1,0,0,1,1
David Blakeburn,Quill Creek,Q07,"Friday, June 07, 2019",White-winged Crossbill,"8,10",8,"F,C",<50m,00011,,2294,FALSE,6:45,3.4,90.2,0,2,,,,,4:04,8:55,8,10.3,0.2,0.5,3,1
David Blakeburn,Quill Creek,Q07,"Friday, June 07, 2019",Gray Jay,"4,6,8,10",1,C,<50m,01111,,2295,FALSE,6:45,3.4,90.2,0,2,,,,,4:04,8:55,8,10.3,0.2,0.5,3,1
David Blakeburn,Quill Creek,Q07,"Friday, June 07, 2019",Common Raven,10,1,C,50-100m,00001,,2296,FALSE,6:45,3.4,90.2,0,2,,,,,4:04,8:55,8,10.3,0.2,0.5,3,1
David Blakeburn,Quill Creek,Q07,"Friday, June 07, 2019",Swainson's Thrush,"2,4,6,8,10",1,"S,C",<50m,11111,,2297,FALSE,6:45,3.4,90.2,0,2,,,,,4:04,8:55,8,10.3,0.2,0.5,3,1
David Blakeburn,Quill Creek,Q07,"Friday, June 07, 2019",Gray Jay,"2,4",2,C,<50m,11000,,2298,FALSE,6:45,3.4,90.2,0,2,,,,,4:04,8:55,8,10.3,0.2,0.5,3,1
David Blakeburn,Quill Creek,Q07,"Friday, June 07, 2019",Swainson's Thrush,"2,4,6,8,10",1,S,50-100m,11111,,2299,FALSE,6:45,3.4,90.2,0,2,,,,,4:04,8:55,8,10.3,0.2,0.5,3,1
David Blakeburn,Quill Creek,Q07,"Friday, June 07, 2019",Yellow-rumped Warbler,"2,4,6,8",1,S,<50m,11110,,2300,FALSE,6:45,3.4,90.2,0,2,,,,,4:04,8:55,8,10.3,0.2,0.5,3,1
David Blakeburn,Quill Creek,Q07,"Friday, June 07, 2019",Dark-eyed Junco,4,1,S,<50m,01000,,2301,FALSE,6:45,3.4,90.2,0,2,,,,,4:04,8:55,8,10.3,0.2,0.5,3,1
David Blakeburn,Quill Creek,Q07,"Friday, June 07, 2019",Yellow-rumped Warbler,"2,6,10",1,S,<50m,10101,,2302,FALSE,6:45,3.4,90.2,0,2,,,,,4:04,8:55,8,10.3,0.2,0.5,3,1
David Blakeburn,Quill Creek,Q07,"Friday, June 07, 2019",Swainson's Thrush,"2,4,6,8,10",1,S,<50m,11111,,2303,FALSE,6:45,3.4,90.2,0,2,,,,,4:04,8:55,8,10.3,0.2,0.5,3,1
Sonny Parker,Quill Creek,Q07,"Wednesday, June 08, 2022",Yellow-rumped Warbler,"4,6,8",1,S,50-100m,01110,,3054,FALSE,6:13,1.1,9.1,0,1,,,,,4:04,8:10,7.8,2.1,0,0,1,1
Sonny Parker,Quill Creek,Q07,"Wednesday, June 08, 2022",Woodpecker,6,1,C,<50m,00100,,3055,FALSE,6:13,1.1,9.1,0,1,,,,,4:04,8:10,7.8,2.1,0,0,1,1
Sonny Parker,Quill Creek,Q07,"Wednesday, June 08, 2022",Swainson's Thrush,"2,4,6,8",1,"C,S",50-100m,11110,,3056,FALSE,6:13,1.1,9.1,0,1,,,,,4:04,8:10,7.8,2.1,0,0,1,1
